,lbda,hD,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,0.25,0.25112243464102235,0.00108594035022552,0.6225217246442286,0.002691999464920432
2,0.5,0.5,0.40781681301336015,0.001480183955190157,1.0109603554095117,0.0036693124208233056
3,0.75,0.75,0.5278746382777673,0.0017351482993330516,1.308578545307489,0.004301358074034297
4,1.0,1.0,0.6265328526341669,0.0019268323644499202,1.553148019314305,0.00477653463471852
