,hE,lbda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,0.25,-0.4900875693695692,0.0031650558367969568,-1.2149060252094415,0.007846037415711883
2,0.5,0.5,-2.2329785736171264,0.006337884748022367,-5.535457932019689,0.015711343948919806
3,0.75,0.75,-5.768144653535122,0.010546007186413258,-14.298982736644323,0.026143098648996447
4,1.0,1.0,-11.866682234224752,0.015455420497367065,-29.41699534258922,0.03831332328740892
