,lbda,hC,hpC,f,df,Up,dUp,F,dF
0,0.0,0.0,0.2434999999999999,0.0,0.0,152.39239485752142,0.15415042459008363,0.0,0.0
1,0.005,0.0012180273874999995,0.24368913499999992,0.3062483373062914,0.0003104352500911578,151.25781654078256,0.15375521234131734,0.7591764685694751,0.0007695556454498517
2,0.01,0.002436677199999999,0.24374977999999992,0.6100861557933488,0.0006200838461885806,150.00275693726692,0.15362032129310607,1.5123773645670209,0.0015371612094520692
3,0.015,0.0036553191374999986,0.2436867949999999,0.9112740174124525,0.0009292173120668693,148.6307529853139,0.1537534467815322,2.25900913135861,0.0023034897877764033
4,0.02,0.004873347199999998,0.24350503999999992,1.2095796041595825,0.0012381102489383705,147.14533002114055,0.15416039713229218,2.9984958625950737,0.0030692221050285387
5,0.025,0.006090179687499998,0.24320937499999992,1.5047777087470209,0.001547038072274355,145.55001623445725,0.1548447894405935,3.7302792790874055,0.003835040904327043
6,0.03,0.007305259199999997,0.24280465999999992,1.7966502575170225,0.0018562744675203573,143.84836020691432,0.1558077258755284,4.453818785608767,0.004601624640131023
7,0.035,0.008518052637499997,0.24229575499999992,2.0849863719282418,0.0021660885229372907,142.04395162995053,0.157047457095077,5.168591623316699,0.005369640370676456
8,0.04,0.009728051199999997,0.2416875199999999,2.3695824750388077,0.002476741501675003,140.14044519287302,0.1585590409983453,5.874093133720082,0.006139735756085229
9,0.045,0.010934770387499996,0.2409848149999999,2.650242449259011,0.0027884832222564446,138.14158749558914,0.16033400715616059,6.56983714974128,0.006912530085740938
10,0.05,0.012137749999999996,0.24019249999999992,2.9267778511890743,0.0031015480278615087,136.05124667255063,0.162360039804823,7.255356528289734,0.007688604286316717
11,0.055,0.013336554137499994,0.2393154349999999,3.1990081885304065,0.0034161503410294553,133.87344421680297,0.1646206951398415,7.930203836713059,0.008468489902073571
12,0.06,0.014530771199999995,0.2383584799999999,3.46676126280717,0.003732479822274951,131.61238827033029,0.1670951715605686,8.593952202389092,0.009252657093277569
13,0.065,0.015720013887499995,0.23732649499999992,3.7298735799151785,0.004050696178916243,129.2725074076782,0.1697581541530415,9.246196330458964,0.010041501767507961
14,0.07,0.016903919199999996,0.23622433999999992,3.988190828307294,0.004370923703855311,126.8584836969741,0.17257975660935373,9.886553689228146,0.01083533204152784
15,0.075,0.018082148437499994,0.23505687499999992,4.241568421936583,0.004693245662128158,124.37528359309975,0.17552558446135216,10.514665856099208,0.011634354325783523
16,0.08,0.019254387199999994,0.23382895999999992,4.489872101959389,0.005017698683887912,121.82818502302295,0.17855694243826925,11.130200009167886,0.0124386594248506
17,0.085,0.020420345387499993,0.2325454549999999,4.732978587743423,0.0053442673633084005,119.22279888706097,0.18163120549320028,11.73285054104415,0.01324820914834799
18,0.09,0.02157975719999999,0.2312112199999999,4.970776264073843,0.005672879300027882,116.56508314695868,0.1847023672773896,12.32234076240656,0.014062824018890006
19,0.095,0.022732381137499993,0.22983111499999992,5.203165887795432,0.006003400848848806,113.86134772530666,0.18772177151187666,12.898424653737848,0.014882172735774704
20,0.1,0.023877999999999993,0.22840999999999992,5.430061293705977,0.006335633859808445,111.118248619316,0.19063902105037736,13.460888615204281,0.01570576409375907
21,0.105,0.02501642088749999,0.2269527349999999,5.65139007658769,0.006669313689997367,108.3427699453932,0.19340304703544772,14.009553157382244,0.016532942054442428
22,0.11,0.02614747519999999,0.2254641799999999,5.86709422410423,0.007004108747057324,105.54219307812185,0.19596330735926512,14.544274470182762,0.01736288461461734
23,0.115,0.02727101863749999,0.2239491949999999,6.077130674156264,0.0073396217801070356,102.72405261322253,0.19827107086947984,15.064945804511982,0.018194607006419145
24,0.12,0.02838693119999999,0.2224126399999999,6.281471770392727,0.007675393067049614,99.89607953951325,0.20028073280133873,15.571498601464022,0.019026969598524093
25,0.125,0.02949511718749999,0.2208593749999999,6.480105591056043,0.008010905560474596,97.06613270710119,0.20195109915178822,16.06390330751413,0.019858690652619373
26,0.13,0.030595505199999987,0.2192942599999999,6.673036129239385,0.008345591952950242,94.24212037497244,0.2032465743235353,16.5421698213687,0.020688363837959144
27,0.135,0.031688048137499994,0.21772215499999992,6.86028330688451,0.008678843513969206,91.4319142527419,0.20413818813619586,17.006347528665287,0.021514480137773077
28,0.14,0.032772723199999985,0.2161479199999999,7.041882810258086,0.009010020444272593,88.64325896174273,0.20460440545690659,17.456524894125515,0.022335453517190792
29,0.145,0.033849531887499985,0.2145764149999999,7.217885740919957,0.009338463398362255,85.88368018143738,0.20463167383276457,17.892828596320385,0.023149649487054735
30,0.15,0.03491849999999999,0.2130124999999999,7.388358082959309,0.009663505751658497,83.16039488431241,0.2042146805879065,18.31542220697162,0.023955415513676963
31,0.155,0.035979677637499985,0.2114610349999999,7.553379994092907,0.009984486142039983,80.48022698136951,0.203356309353723,18.724504433614673,0.024751112108777663
32,0.16,0.03703313919999999,0.20992687999999993,7.713044934659926,0.010300760800692614,77.84953140748382,0.20206730511428359,19.120306960414332,0.0255351433971297
33,0.165,0.03807898338749999,0.2084148949999999,7.867458654202604,0.010611715205234013,75.27412919834251,0.20036567470853323,19.503091935941704,0.026305986004153424
34,0.17,0.039117333199999986,0.20692993999999992,8.016738059866036,0.010916774636547073,72.75925549213144,0.19827586468610447,19.873149167985936,0.027062215225853444
35,0.175,0.04014833593749999,0.20547687499999992,8.161009994046903,0.011215413294267389,70.30952168460229,0.19582776923380976,20.23079309339793,0.027802527625720243
36,0.18,0.04117216319999998,0.20406055999999992,8.300409950461816,0.011507161716942868,67.92889223477675,0.19305562689629227,20.576359595278944,0.028525759428987035
37,0.185,0.04218901088749998,0.20268585499999991,8.435080758092376,0.011791612352940628,65.62067591697033,0.18999686591767145,20.910202740536953,0.02923090033266855
38,0.19,0.04319909919999999,0.2013576199999999,8.565171261405348,0.012068423228640818,63.38753069129469,0.18669095467581676,21.23269150820916,0.029917102598855928
39,0.195,0.04420267263749998,0.2000807149999999,8.69083502304262,0.01233731975370774,61.231480854980234,0.1831783067239158,21.544206573486154,0.030583685529906233
40,0.2,0.04519999999999998,0.19885999999999993,8.81222907207465,0.012598094783287533,59.15394476208057,0.17949928049620528,21.845137204686004,0.03123013562262783
41,0.205,0.04619137438749998,0.19770033499999992,8.929512717199245,0.012850607119894894,57.155771166070984,0.1756933029539324,22.135878321225007,0.03185610285452197
42,0.21,0.04717711319999998,0.19660657999999992,9.042846440223505,0.013094778681684106,55.23728214267288,0.1717981354449031,22.416827750607005,0.032461393664048335
43,0.215,0.04815755813749998,0.19558359499999994,9.152390881051051,0.013330590588792178,53.398320573103724,0.16784928974224067,22.688383712250317,0.03304596124883783
44,0.22,0.04913307519999998,0.1946362399999999,9.258305921430706,0.013558078427108076,51.6383002886141,0.16387959328294588,22.950942546140084,0.03360989382478008
45,0.225,0.05010405468749998,0.1937693749999999,9.360749871076658,0.013777326941804002,49.95625717027446,0.15991889544751225,23.204896695255147,0.03415340147151543
46,0.23,0.051070911199999985,0.19298785999999993,9.459878756565058,0.013988464394523963,48.350899737980654,0.1559939014645247,23.450632942773268,0.034676802144147915
47,0.235,0.05203408363749998,0.19229655499999992,9.55584571071924,0.014191656791666387,46.82065802610282,0.15212811714332072,23.688530898383306,0.03518050736540589
48,0.24,0.05299403519999998,0.19170031999999992,9.648800458040093,0.014387102159966192,45.36372981028029,0.148341885940923,23.91896172268925,0.03566500803505593
49,0.245,0.053951253387499974,0.19120401499999992,9.738888890110877,0.014575025012393949,43.97812350501251,0.14465249957493195,24.142287074656977,0.03613086071110464
50,0.25,0.054906249999999976,0.19081249999999994,9.826252723774001,0.014755671114565105,42.661697283858885,0.14107436418102445,24.358858264249193,0.0365786746359521
51,0.255,0.05585956113749998,0.19053063499999995,9.911029234180468,0.014929302631062291,41.41219417644466,0.13761920556263477,24.569015590666464,0.037009099704333324
52,0.26,0.05681174719999998,0.1903632799999999,9.993351054495557,0.015096193703509248,40.22727306566385,0.1342962991008472,24.77308784582622,0.03742281550155359
53,0.265,0.05776339288749997,0.19031529499999994,10.073346034030086,0.015256626488517604,39.104535644182505,0.13111271213994105,24.97139196267624,0.03782052148172874
54,0.27,0.058715107199999984,0.19039153999999994,10.15113714679749,0.01541088766402988,38.04154949307048,0.1280735489459068,25.164232788511587,0.03820292830715963
55,0.275,0.05966752343749998,0.19059687499999994,10.226842442903735,0.015559265397029136,37.03586752031199,0.1251821905121314,25.351902964472295,0.0385707503314146
56,0.28,0.06062129919999998,0.19093615999999997,10.300575035712074,0.01570204675381334,36.0850440467371,0.12244052346547118,25.534682893725336,0.03892469917951097
57,0.285,0.06157711638749998,0.1914142549999999,10.372443118336145,0.015839515525622554,35.18664785583135,0.11984915405470216,25.712840782350323,0.039265478357738234
58,0.29,0.06253568119999997,0.19203601999999992,10.442550003668268,0.015971950436876277,34.33827253591135,0.1174076046601203,25.88663273856792,0.039593778811955416
59,0.295,0.06349772413749996,0.19280631499999992,10.5109941828127,0.016099623700135932,33.53754444217844,0.11511449144960824,26.056302917593374,0.03991027534540521
60,0.3,0.06446399999999998,0.1937299999999999,10.57786939744563,0.016222799880667077,32.782128595498385,0.11296768273983365,26.222083701013844,0.04021562380401247
61,0.305,0.06543528788749997,0.19481193499999994,10.643264722245446,0.0163417350336863,32.06973281736684,0.1109644383277969,26.38419590112948,0.04051045893765631
62,0.31,0.06641239119999998,0.1960569799999999,10.707264654119642,0.01645667607867424,31.398110378738135,0.109101530569226,26.54284898214309,0.040795392849119004
63,0.315,0.06739613763749998,0.19746999499999995,10.769949205490692,0.01656786037716157,30.76506141616222,0.1073753483284258,26.698241291411826,0.04107101394743558
64,0.32,0.06838737919999997,0.19905583999999998,10.831393999389133,0.016675515482908597,30.1684333434429,0.10578198514059281,26.85056029517884,0.04133788632859976
65,0.325,0.06938699218749997,0.20081937499999994,10.891670364536553,0.016779859036154594,29.606120461913576,0.10431731304058274,26.999982814279917,0.041596549513412615
66,0.33,0.07039587719999997,0.2027654599999999,10.950845428986643,0.016881098776484558,29.076062948165493,0.1029770435469847,27.14667525627564,0.0418475184793787
67,0.335,0.07141495913749998,0.204898955,11.008982211229728,0.016979432651688286,28.576245375210643,0.10175677726803342,27.2907938412956,0.04209128393056302
68,0.34,0.07244518719999998,0.20722471999999992,11.066139707958742,0.017075049002706153,28.10469490190581,0.1006520435342646,27.432484819606465,0.042328312756063705
69,0.345,0.07348753488749996,0.20974761499999994,11.122372977947613,0.017168126807312983,27.659479246158856,0.09965833137571377,27.571884679542904,0.04255904863409375
70,0.35,0.07454299999999997,0.21247249999999995,11.17773322170725,0.01725883596753306,27.238704540050694,0.0987711130600072,27.70912034497136,0.042783912744470645
71,0.355,0.07561260463749997,0.2154042349999999,11.232267856766983,0.01734733762790418,26.840513149459206,0.09798586130020692,27.844309361909485,0.04300330455757912
72,0.36,0.07669739519999996,0.21854767999999988,11.286020588581323,0.01743378451361606,26.46308152699667,0.09729806113396747,27.977560074300975,0.043217602672601815
73,0.365,0.07779844238749997,0.22190769499999993,11.339031477188252,0.0175183212792291,26.10461815493022,0.09670321737260053,28.10897178925859,0.043427165681978123
74,0.37,0.07891684119999996,0.22548913999999995,11.391336999848711,0.017601084860164172,25.763361624086006,0.09619685842316843,28.238634932344763,0.04363233304273218
75,0.375,0.08005371093749997,0.22929687499999993,11.442970109979989,0.017682204820446912,25.43757888540921,0.09577453720017953,28.36663119366493,0.043833425938516135
76,0.38,0.08121019519999997,0.23333575999999998,11.493960292761152,0.017761803691316462,25.12556370268601,0.09543182976692818,28.493033665711003,0.044030748119006625
77,0.385,0.08238746188749997,0.237610655,11.544333617839142,0.017839997296294128,24.825635327799354,0.09516433228003057,28.617906974017533,0.044224586705735966
78,0.39,0.08358670319999997,0.2421264199999999,11.594112789600421,0.017916895059157854,24.5361374136398,0.0949676567539624,28.741307401782944,0.0444152129555477
79,0.395,0.08480913563749996,0.24688791499999996,11.643317195498218,0.01799260029202107,24.255437174312704,0.0948374261146404,28.863283009670695,0.04460288297473165
80,0.4,0.08605599999999997,0.2519,11.691962952939775,0.01806721046137945,23.98192479744455,0.09476926897126896,28.983873752040775,0.04478783837854243
81,0.405,0.08732856138749998,0.2571675349999999,11.740062955243195,0.018140817430578517,23.714013109122412,0.09475881450250553,29.10311159087473,0.044970306892266186
